,lat,long
8881,43.4344623,-3.8890505
8882,43.386,-4.57212
8884,42.732465,-7.325337
8899,42.4290487,-2.5422324
8952,42.1336181,-8.6916387
8961,43.2788671,-6.0201004
8981,43.552171434452674,-6.371603608131409
8984,42.8433824,-8.3012515
8988,42.4880148,-2.2393773
8997,43.39055,-4.2922
9002,45.42151,13.3755107
9008,42.7171071,-7.2740352
9047,42.637752,-7.044459
9060,43.46029122,-3.80642109
9074,53.73591,-2.031612
9127,40.5820917,-3.8117237
9132,43.468469,-3.726403
9140,42.5787931,-6.9039356
9141,38.1603479,-0.6564332
9150,42.6042782,-6.809244899999999
9198,37.2628171,-6.3857343
9240,42.54335795344281,-6.5863123385747455
9250,42.488919081934654,-6.361502408981323
9251,42.87300021,-7.86851355
9324,43.538632269426316,-5.636961452437999
9367,42.5504611,-6.713956
9379,42.6978274,-7.54317
9438,38.7162303,0.1026971
9476,43.38342,-3.21776
9501,42.577342,-1.287091
9508,36.6355853,-4.5879284
9555,42.488919081934654,-6.361502408981323
9589,37.20500138,-7.23455842
9603,43.38886,-4.10858
9606,43.53369,-7.04051
9621,41.4259395,2.2110915
9627,42.8237296,-8.6323091
9643,41.4907394,-4.7058118
9689,39.8916978,-0.1749828
9697,37.5173758,-1.4757081
9711,32.5309154,-97.186747
9724,42.2301205,-8.6779434
9756,42.8237296,-8.6323091
9781,42.9877937,-7.2126538
9811,42.2888282,3.129184
9913,42.88057522520878,-8.54460597038269
9917,42.8433824,-8.3012515
9920,42.8433824,-8.3012515
9931,43.339465,-6.417639
9980,41.9186942,-3.1344912
10044,42.8433824,-8.3012515
10069,42.8800507,-8.54469816
10108,42.4381924,-6.2072614
10200,42.8164467,-7.9995922
10226,40.3120713,-3.8890049
10319,42.7556589,-7.7660515
10472,42.87684,-8.54432
10546,42.3911577,-3.0648999
10549,28.14509760766132,-15.65536301117321
10581,41.8078139,-9.2995163
10771,62.959648,21.027968
10838,42.8237296,-8.6323091
10863,42.7802,-7.41375
10920,42.8743764,-8.1340903
11047,43.366298,-64.237659
11054,42.7334399,-8.7967052
11129,42.55796181,-6.6237987
11135,42.8433824,-8.3012515
11147,41.4029384,2.15840502
11189,42.6258701,-7.1826734
11243,28.0248125,-15.5255036
11257,42.2278969,-4.4594339
11274,42.8800507,-8.54469816
11365,38.8721454,-3.2966333
11382,40.696348,15.5180492
11391,42.8,-7.61667
11399,51.682038,-3.458252
11406,42.8237296,-8.6323091
11416,42.8237296,-8.6323091
11444,28.0596213975586,-15.547394374753518
11460,42.4290487,-2.5422324
11486,42.239757,-7.910617
11571,42.8237296,-8.6323091
11577,13.6262440003008,-89.2698060005546
11683,42.8733828,-8.4220263
11696,42.8237296,-8.6323091
11768,42.81152175,-8.56933594
11795,42.2323453,-2.9567024
11859,42.8433824,-8.3012515
11875,42.87684,-8.54432
11940,42.8743764,-8.1340903
12105,42.7556589,-7.7660515
12133,38.1603479,-0.6564332
12181,42.81152175,-8.56933594
12244,42.4290487,-2.5422324
12275,42.6978274,-7.54317
12325,37.3681692,-5.3232769
12373,42.8237296,-8.6323091
12433,43.3149174,-8.2204775
12447,42.6258701,-7.1826734
12494,42.8433824,-8.3012515
12569,40.3120713,-3.8890049
12577,42.3886878,-3.0021433
12632,40.3120713,-3.8890049
12643,42.8164467,-7.9995922
12668,42.5787931,-6.9039356
12727,41.890873,-87.631454
12762,42.1110875,-8.850669
12763,42.7556589,-7.7660515
12820,42.3886878,-3.0021433
12965,42.7556589,-7.7660515
12975,42.8075088442035,-7.616380558084776
13090,37.8875012,-1.0367974
13116,42.873821,-7.86729507
13201,36.6355853,-4.5879284
13203,36.6355853,-4.5879284
13228,42.3886878,-3.0021433
13234,42.88301981,-9.27186019
13244,36.3867663,-5.2198264
13245,42.8237296,-8.6323091
13320,36.970298,-91.51308
13369,42.8743764,-8.1340903
13372,42.7140162,-8.6836364
13377,42.8237296,-8.6323091
13429,42.8164467,-7.9995922
13584,42.7890168,-1.6946203
13637,36.6355853,-4.5879284
13735,42.87300021,-7.86851355
13764,42.96809177,-8.44349446
13858,43.15065165,-8.36356105
13867,53.2987449,-6.387438
13940,37.3136131,-6.0284301
14041,41.5231077,-4.928146
14095,43.51653149,-8.16721066
14116,43.48363017,-8.20939288
14183,42.344,-3.6986
14222,42.8237296,-8.6323091
14231,42.90539607538026,-8.361716341152341
14241,42.8237296,-8.6323091
14262,43.3818082,-3.4596958
14305,42.7890168,-1.6946203
14321,42.90552729321628,-8.360496467183635
14351,42.8733828,-8.4220263
14354,42.6265401,-8.7509089
14396,42.8433824,-8.3012515
14447,42.8743764,-8.1340903
14468,42.78354870153063,-7.533321340236338
14538,42.284782,-3.794911
14563,42.7556589,-7.7660515
14567,42.7890168,-1.6946203
14607,42.67225223,-6.97531059
14613,42.8804533670607,-8.545732498168945
14614,42.73092236121637,-7.1569392621370165
14627,42.8075088442035,-7.616380558084776
14639,42.67245600817351,-6.975603243537776
14654,42.5973104,-6.9397834
14671,42.5973104,-6.9397834
14675,42.88057522520878,-8.54460597038269
14687,41.8078139,-9.2995163
14689,42.5973104,-6.9397834
14730,42.1898796,2.5794148
14812,43.2428704,-2.2099882
14824,42.8433824,-8.3012515
14859,53.966206,-1.5979582
14918,43.2176389,-2.0866885
14997,40.5624202,-4.1992141
15113,42.8667,-7.86667
15128,42.5471618,-5.6313015
15156,42.91322453,-8.01140964
15175,42.8667,-7.86667
15223,43.417262,-80.160648
15224,28.0248125,-15.5255036
15225,28.0248125,-15.5255036
15228,28.0248125,-15.5255036
15243,42.8667,-7.86667
15324,53.805522057603795,10.382207191370545
15376,40.8792776,-3.6753641
15445,43.2788671,-6.0201004
15452,38.6260305,-6.5177178
15526,42.3430948,-8.6984109
15701,42.8237296,-8.6323091
15749,41.9622488,-6.6665051
15787,42.91340125,-8.011917
15972,42.70783929454881,-7.043811082935223
15990,28.0248125,-15.5255036
16133,42.8237296,-8.6323091
16246,42.8237296,-8.6323091
16280,42.4742,-5.35478
16356,42.5903164,-8.3697031
16563,42.4069595,-7.6052466
16673,42.3262586,-7.3774
16749,40.5807921,-3.5936405
16832,42.873821,-7.86729507
16846,43.010044,-1.320651
16859,42.8237296,-8.6323091
16864,42.8798431,-9.2981391
16879,42.3698,-3.47944
16912,42.573207025970326,-1.2840163707733154
16917,41.8078139,-9.2995163
17002,42.4290487,-2.5422324
17095,42.873169231911625,-7.868607377043358
17118,38.961273,-76.246439
17210,42.6978274,-7.54317
17368,41.50256743394477,-5.748560542098879
17827,53.479202,-2.532847
17871,37.1359031,-3.6997962
18318,41.4518349,-1.174093
18357,38.6720825,-2.1812992
18419,49.967561,19.79343
18443,43.3736598,-8.2229931
18557,42.67245600817351,-6.975603243537776
18856,42.8798431,-9.2981391
18942,41.8078139,-9.2995163
18969,42.90539607538026,-8.361716341152341
18974,42.8733828,-8.4220263
18978,42.8733828,-8.4220263
18979,42.8733828,-8.4220263
18981,42.8733828,-8.4220263
19029,42.8433824,-8.3012515
19056,42.8743764,-8.1340903
19059,42.8743764,-8.1340903
19141,43.41009064,-2.94559941
