pays,lat,long,long_dest,lat_dest,User
 OK,-97.2684063,34.9550817,37.879030099999994,-4.779535727995244,10
 Louisiane,-92.007126,30.8703881,37.879030099999994,-4.779535727995244,10
 Australia,134.755,-24.7761086,37.879030099999994,-4.779535727995244,10
 NV,9.0999715,60.5000209,37.879030099999994,-4.779535727995244,10
 United Kingdom,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,10
 Finlande,25.9209164,63.2467777,37.879030099999994,-4.779535727995244,10
 Thaïlande,100.83273,14.8971921,37.879030099999994,-4.779535727995244,9
London,-0.1276474,51.5073219,37.879030099999994,-4.779535727995244,9
 Afrique du Sud,24.991639,-28.8166236,37.879030099999994,-4.779535727995244,9
 Philippines,122.7312101,12.7503486,37.879030099999994,-4.779535727995244,9
 Hongrie,19.5060937,47.1817585,37.879030099999994,-4.779535727995244,9
Italie,12.674297,42.6384261,37.879030099999994,-4.779535727995244,8
 Corée du Sud,127.6961188,36.638392,37.879030099999994,-4.779535727995244,8
 KY,-85.1551411,37.5726028,37.879030099999994,-4.779535727995244,8
États-Unis,18.1367969,-0.7327729,37.879030099999994,-4.779535727995244,8
New Jersey,-74.4041622,40.0757384,37.879030099999994,-4.779535727995244,8
 IA,-93.3122705,41.9216734,37.879030099999994,-4.779535727995244,8
 PR,14.4212535,50.0874654,37.879030099999994,-4.779535727995244,8
 PE,-75.0458515,-6.8699697,37.879030099999994,-4.779535727995244,7
 RN,-1.6800198,48.1113387,37.879030099999994,-4.779535727995244,7
 DF,-99.1331785,19.4326296,37.879030099999994,-4.779535727995244,7
 New York,-74.0060152,40.7127281,37.879030099999994,-4.779535727995244,7
Toronto,-79.3839347,43.6534817,37.879030099999994,-4.779535727995244,6
 Turquie,34.9249653,38.9597594,37.879030099999994,-4.779535727995244,6
 AR,-64.9672817,-34.9964963,37.879030099999994,-4.779535727995244,6
Royaume-Uni,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,6
 NH,-71.6553992,43.4849133,37.879030099999994,-4.779535727995244,6
 RS,20.55144,44.1534121,37.879030099999994,-4.779535727995244,6
 DE,10.4234469,51.0834196,37.879030099999994,-4.779535727995244,6
 ES,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,6
 RI,12.885888076510067,42.41473635,37.879030099999994,-4.779535727995244,6
 Slovaquie,19.4528646,48.7411522,37.879030099999994,-4.779535727995244,5
 Taïwan,120.9820179,23.9739374,37.879030099999994,-4.779535727995244,5
 BA,17.5961467,44.3053476,37.879030099999994,-4.779535727995244,5
 NE,104.999927,35.000074,37.879030099999994,-4.779535727995244,5
 Vietnam,108.4265113,13.2904027,37.879030099999994,-4.779535727995244,5
Texas,-99.68300099546674,31.168570000000003,37.879030099999994,-4.779535727995244,5
Canada,-107.991707,61.0666922,37.879030099999994,-4.779535727995244,4
 California,-118.755997,36.7014631,37.879030099999994,-4.779535727995244,4
 Ukraine,31.2718321,49.4871968,37.879030099999994,-4.779535727995244,4
Illinois,-89.4337288,40.0796606,37.879030099999994,-4.779535727995244,4
Californie,-118.755997,36.7014631,37.879030099999994,-4.779535727995244,4
 Virginie-Occidentale,-80.8408415,38.4758406,37.879030099999994,-4.779535727995244,4
 Indonésie,117.8902853,-2.4833826,37.879030099999994,-4.779535727995244,4
France,1.8883335,46.603354,37.879030099999994,-4.779535727995244,4
 MS,-89.7348497,32.9715285,37.879030099999994,-4.779535727995244,4
 Croatie,17.0118954,45.5643442,37.879030099999994,-4.779535727995244,4
 España,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,4
Caroline du Nord,-79.0392919,35.6729639,37.879030099999994,-4.779535727995244,4
Afrique du Sud,24.991639,-28.8166236,37.879030099999994,-4.779535727995244,3
Singapore,103.8194992,1.357107,37.879030099999994,-4.779535727995244,3
 Slovénie,14.4808369,45.8133113,37.879030099999994,-4.779535727995244,3
Espagne,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,3
 PA,-81.1308434,8.559559,37.879030099999994,-4.779535727995244,3
 Pérou,-75.0458515,-6.8699697,37.879030099999994,-4.779535727995244,3
Europe,10.0,51.0,37.879030099999994,-4.779535727995244,3
 Brazil,-53.2,-10.3333333,37.879030099999994,-4.779535727995244,3
Israël,34.8667654,31.5313113,37.879030099999994,-4.779535727995244,3
Florida,-81.4639835,27.7567667,37.879030099999994,-4.779535727995244,3
 ME,-102.26751579375113,23.553556999999998,37.879030099999994,-4.779535727995244,3
Floride,-81.4639835,27.7567667,37.879030099999994,-4.779535727995244,3
California,-118.755997,36.7014631,37.879030099999994,-4.779535727995244,3
 MT,14.4476911,35.8885993,37.879030099999994,-4.779535727995244,3
 Colombie,-72.9088133,4.099917,37.879030099999994,-4.779535727995244,3
 Martinique,-60.9620777,14.6113732,37.879030099999994,-4.779535727995244,3
UK,-3.2765753,54.7023545,37.879030099999994,-4.779535727995244,2
Maryland,-76.9382069,39.5162234,37.879030099999994,-4.779535727995244,2
Brisbane,153.0234991,-27.4689682,37.879030099999994,-4.779535727995244,2
 Serbie,20.55144,44.1534121,37.879030099999994,-4.779535727995244,2
Buenos Aires,-58.4370894,-34.6075682,37.879030099999994,-4.779535727995244,2
Madrid,-3.7035825,40.4167047,37.879030099999994,-4.779535727995244,2
Monleale,8.9802506,44.8870659,37.879030099999994,-4.779535727995244,2
Chicago,-87.6244212,41.8755616,37.879030099999994,-4.779535727995244,2
Audincourt,6.8413684,47.4819786,37.879030099999994,-4.779535727995244,2
Ohio,-82.6881395,40.2253569,37.879030099999994,-4.779535727995244,2
Mumbai,72.8773928,19.0759899,37.879030099999994,-4.779535727995244,2
 South Carolina,-80.4363743,33.6874388,37.879030099999994,-4.779535727995244,2
Utah,-111.714358,39.4225192,37.879030099999994,-4.779535727995244,2
 Sri Lanka,80.7137847,7.5554942,37.879030099999994,-4.779535727995244,2
 Équateur,-79.3666965,-1.3397668,37.879030099999994,-4.779535727995244,2
 Usa,-99.00906717303353,36.81843005,37.879030099999994,-4.779535727995244,2
New York,-74.0060152,40.7127281,37.879030099999994,-4.779535727995244,2
bologna,11.3426327,44.4938203,37.879030099999994,-4.779535727995244,2
 Xinbei,121.4656619,25.011997,37.879030099999994,-4.779535727995244,2
 Wisconsin,-89.6884637,44.4308975,37.879030099999994,-4.779535727995244,2
 WY,-107.568534,43.1700264,37.879030099999994,-4.779535727995244,2
 Tunisie,9.400138,33.8439408,37.879030099999994,-4.779535727995244,2
