pays,lat,long,long_dest,lat_dest,User
 République tchèque,15.4749544,49.8167003,51.4993619,-0.12739984672471022,12
 Roumanie,24.6859225,45.9852129,51.4993619,-0.12739984672471022,12
 IN,78.6677428,22.3511148,51.4993619,-0.12739984672471022,11
 CT,-72.7342163,41.6500201,51.4993619,-0.12739984672471022,11
 SC,-80.4363743,33.6874388,51.4993619,-0.12739984672471022,11
 Uruguay,-56.0201525,-32.8755548,51.4993619,-0.12739984672471022,11
 KS,-98.5821872,38.27312,51.4993619,-0.12739984672471022,10
 Louisiane,-92.007126,30.8703881,51.4993619,-0.12739984672471022,10
 Finlande,25.9209164,63.2467777,51.4993619,-0.12739984672471022,10
 Australia,134.755,-24.7761086,51.4993619,-0.12739984672471022,10
 District de Columbia,-76.98804281910948,38.89384735,51.4993619,-0.12739984672471022,10
 United Kingdom,-3.2765753,54.7023545,51.4993619,-0.12739984672471022,10
 OK,-97.2684063,34.9550817,51.4993619,-0.12739984672471022,10
 NV,9.0999715,60.5000209,51.4993619,-0.12739984672471022,10
 Afrique du Sud,24.991639,-28.8166236,51.4993619,-0.12739984672471022,9
 Philippines,122.7312101,12.7503486,51.4993619,-0.12739984672471022,9
 Hongrie,19.5060937,47.1817585,51.4993619,-0.12739984672471022,9
London,-0.1276474,51.5073219,51.4993619,-0.12739984672471022,9
 Thaïlande,100.83273,14.8971921,51.4993619,-0.12739984672471022,9
 PR,14.4212535,50.0874654,51.4993619,-0.12739984672471022,8
 KY,-85.1551411,37.5726028,51.4993619,-0.12739984672471022,8
New Jersey,-74.4041622,40.0757384,51.4993619,-0.12739984672471022,8
États-Unis,18.1367969,-0.7327729,51.4993619,-0.12739984672471022,8
Italie,12.674297,42.6384261,51.4993619,-0.12739984672471022,8
 IA,-93.3122705,41.9216734,51.4993619,-0.12739984672471022,8
 Corée du Sud,127.6961188,36.638392,51.4993619,-0.12739984672471022,8
 PE,-75.0458515,-6.8699697,51.4993619,-0.12739984672471022,7
 DF,-99.1331785,19.4326296,51.4993619,-0.12739984672471022,7
 RN,-1.6800198,48.1113387,51.4993619,-0.12739984672471022,7
 New York,-74.0060152,40.7127281,51.4993619,-0.12739984672471022,7
 AR,-64.9672817,-34.9964963,51.4993619,-0.12739984672471022,6
 ES,-4.8379791,39.3260685,51.4993619,-0.12739984672471022,6
Royaume-Uni,-3.2765753,54.7023545,51.4993619,-0.12739984672471022,6
 DE,10.4234469,51.0834196,51.4993619,-0.12739984672471022,6
 NH,-71.6553992,43.4849133,51.4993619,-0.12739984672471022,6
 Turquie,34.9249653,38.9597594,51.4993619,-0.12739984672471022,6
Toronto,-79.3839347,43.6534817,51.4993619,-0.12739984672471022,6
 RI,12.885888076510067,42.41473635,51.4993619,-0.12739984672471022,6
 RS,20.55144,44.1534121,51.4993619,-0.12739984672471022,6
 Taïwan,120.9820179,23.9739374,51.4993619,-0.12739984672471022,5
Texas,-99.68300099546674,31.168570000000003,51.4993619,-0.12739984672471022,5
 Slovaquie,19.4528646,48.7411522,51.4993619,-0.12739984672471022,5
 Vietnam,108.4265113,13.2904027,51.4993619,-0.12739984672471022,5
 NE,104.999927,35.000074,51.4993619,-0.12739984672471022,5
 BA,17.5961467,44.3053476,51.4993619,-0.12739984672471022,5
 España,-4.8379791,39.3260685,51.4993619,-0.12739984672471022,4
 Indonésie,117.8902853,-2.4833826,51.4993619,-0.12739984672471022,4
Caroline du Nord,-79.0392919,35.6729639,51.4993619,-0.12739984672471022,4
Canada,-107.991707,61.0666922,51.4993619,-0.12739984672471022,4
Californie,-118.755997,36.7014631,51.4993619,-0.12739984672471022,4
 Ukraine,31.2718321,49.4871968,51.4993619,-0.12739984672471022,4
 Croatie,17.0118954,45.5643442,51.4993619,-0.12739984672471022,4
 Virginie-Occidentale,-80.8408415,38.4758406,51.4993619,-0.12739984672471022,4
France,1.8883335,46.603354,51.4993619,-0.12739984672471022,4
Illinois,-89.4337288,40.0796606,51.4993619,-0.12739984672471022,4
 MS,-89.7348497,32.9715285,51.4993619,-0.12739984672471022,4
 California,-118.755997,36.7014631,51.4993619,-0.12739984672471022,4
Europe,10.0,51.0,51.4993619,-0.12739984672471022,3
 Colombie,-72.9088133,4.099917,51.4993619,-0.12739984672471022,3
Espagne,-4.8379791,39.3260685,51.4993619,-0.12739984672471022,3
 Slovénie,14.4808369,45.8133113,51.4993619,-0.12739984672471022,3
Florida,-81.4639835,27.7567667,51.4993619,-0.12739984672471022,3
 Brazil,-53.2,-10.3333333,51.4993619,-0.12739984672471022,3
Afrique du Sud,24.991639,-28.8166236,51.4993619,-0.12739984672471022,3
 PA,-81.1308434,8.559559,51.4993619,-0.12739984672471022,3
 ME,-102.26751579375113,23.553556999999998,51.4993619,-0.12739984672471022,3
Israël,34.8667654,31.5313113,51.4993619,-0.12739984672471022,3
California,-118.755997,36.7014631,51.4993619,-0.12739984672471022,3
 Martinique,-60.9620777,14.6113732,51.4993619,-0.12739984672471022,3
 MT,14.4476911,35.8885993,51.4993619,-0.12739984672471022,3
Singapore,103.8194992,1.357107,51.4993619,-0.12739984672471022,3
 Pérou,-75.0458515,-6.8699697,51.4993619,-0.12739984672471022,3
Floride,-81.4639835,27.7567667,51.4993619,-0.12739984672471022,3
Ohio,-82.6881395,40.2253569,51.4993619,-0.12739984672471022,2
Madrid,-3.7035825,40.4167047,51.4993619,-0.12739984672471022,2
 South Carolina,-80.4363743,33.6874388,51.4993619,-0.12739984672471022,2
 Serbie,20.55144,44.1534121,51.4993619,-0.12739984672471022,2
 Équateur,-79.3666965,-1.3397668,51.4993619,-0.12739984672471022,2
 Sri Lanka,80.7137847,7.5554942,51.4993619,-0.12739984672471022,2
