,long,lat,userId
1175,-8.3473431,43.4533012,1076303250
1177,-8.3473431,43.4533012,1076303250
1178,-8.23714551627024,43.482337943612066,1076303250
1216,-3.8890049,40.3120713,122692704
1222,-8.3770495,43.2406807,718167675483131906
1226,-0.965201,51.46037,127516805
1254,-8.7323,42.2117,1256644526132920322
1255,-8.7323,42.2117,1256644526132920322
1275,-9.2995163,42.4630328,93215604
1312,-5.7715699,40.5212125,224194260
1317,-8.545732498168945,42.8804533670607,176882260
1318,-8.6323091,42.8237296,1188927754055704576
1335,-3.6912051,40.5104266,2261600762
1381,-6.1637199,37.7693815,1272842704456691713
1396,-8.745894,41.414037,1273321294159908868
1423,-7.7660515,42.7556589,108358543
1429,-7.9995922,42.8164467,1188927754055704576
1455,-7.7660515,42.7556589,108358543
1486,-3.794911,42.284782,1241026633
1487,-8.54469816,42.8800507,338911521
1490,-1.174093,41.4518349,780043643193290752
1508,-5.5917436,43.4070908,287579655
1515,1.9998292,41.4150361,35187450
1516,-7.9427095,42.9305719,93215604
1517,-7.9427095,42.9305719,93215604
1520,-2.5422324,42.4290487,1510306662
1529,-8.8916447,42.5242277,708727288532221953
1540,-7.4138088018287345,42.77751510026665,108358543
1578,-2.2393773,42.4880148,74958147
1596,-6.3470305,39.9225705,224194260
1626,-8.6323091,42.8237296,108358543
1629,-5.9301,54.5971,564638850
1641,-0.4325447,39.2783813,250541595
1668,-8.6323091,42.8237296,339157056
1671,-6.4532107,39.716724,224194260
1703,-3.1899183917660228,42.41981056116413,1241026633
1713,-1.174093,41.4518349,217779492
1724,-3.8890049,40.3120713,1193100882
1725,-8.6916387,42.1336181,72797717
1734,-6.0201004,43.2788671,805894013584834561
1749,-0.1641578,39.848549,257976873
1808,-6.0201004,43.2788671,805894013584834561
1811,-0.1641578,39.848549,257976873
1836,-2.5422324,42.4290487,1241026633
1872,-8.7255592,42.5665948,339157056
1895,-8.54432,42.87684,220246926
1907,-117.86894,33.606077,127375220
1918,-8.7306227,42.0224369,1343835307
1924,-0.1641578,39.848549,257976873
1926,-0.1641578,39.848549,257976873
1954,-8.6984109,42.3430948,339157056
1957,-0.975786,53.890926,2850462590
1990,-8.54469816,42.8800507,720430419091525633
1995,-3.41935,41.96232,300799552
1998,-0.1641578,39.848549,257976873
2015,-7.55773544,43.01186501,196649772
2017,-5.8209772,43.4416802,805894013584834561
2040,-70.686763,41.737169,2880931653
2043,-3.68333,40.4,255239880
2044,-3.69718611,40.43279167,255239880
2054,-8.54432,42.87684,283486333
2056,-0.1641578,39.848549,257976873
2062,-6.642019,42.575503,720430419091525633
2071,-6.3676141,39.0336359,224194260
2080,-6.3641254,39.0047167,224194260
2093,-6.2072614,42.4381924,146970396
2096,-8.646798133850098,42.03622159501906,107259043
2100,-1.81057903,42.67698087,255239880
2128,-2.45,36.8333,1072402032
2155,-3.699452458866695,40.40412526382143,1137273146522972160
2185,-3.699452458866695,40.40412526382143,1137273146522972160
2186,-3.699452458866695,40.40412526382143,1137273146522972160
2201,-3.699452458866695,40.40412526382143,145755108
2203,-3.699452458866695,40.40412526382143,1137273146522972160
2217,-3.8890049,40.3120713,1137273146522972160
2218,-3.699452458866695,40.40412526382143,1137273146522972160
2235,5.3913595,51.4578847,224194260
2268,-3.8890049,40.3120713,377980460
2278,-8.8916447,42.5242277,708727288532221953
2287,-4.5791745,39.8845366,1137273146522972160
2288,-4.5791745,39.8845366,1137273146522972160
2297,-0.1641578,39.848549,257976873
2314,-6.370546817779541,39.47345448342567,1165317035204718592
2366,-0.1641578,39.848549,257976873
2387,-5.6313015,42.5471618,146970396
2404,-1.31987,43.0087,156592010
2411,1.8542375,41.4950118,1011571759508869121
2454,-67.4417596,3.60774,109052908
2464,-7.90691801,42.76401424,110499965
2471,-0.975786,53.890926,2850462590
2474,-2.411961,51.623112,1648385712
2487,-0.1641578,39.848549,257976873
2490,-70.686763,41.737169,2880931653
2502,-7.90691801,42.76401424,425242366
2503,-8.6323091,42.8237296,715462200
2506,-3.5119189,40.33801,94086222
2516,-1.174093,41.4518349,780043643193290752
2538,-7.90691801,42.76401424,264742637
2548,-8.54469816,42.8800507,264742637
2564,-4.5423,42.31659,2765536072
2573,-4.5424819,42.31665428,2765536072
2589,-0.1641578,39.848549,257976873
2594,-1.7423435,42.8304251,980055354
2596,-7.55773544,43.01186501,110499965
2597,-2.0680288,42.6310235,980055354
2598,-8.6323091,42.8237296,6048582
2605,-1.31987,43.0087,519668625
2624,-8.65237,42.43246,584090927
2643,-8.360496467183635,42.90552729321628,980934018
2644,-8.360496467183635,42.90552729321628,980934018
2645,-8.360496467183635,42.90552729321628,980934018
2656,-3.8890049,40.3120713,1163149635042627586
2657,-0.81933,38.53433,346715420
2662,-3.01768,43.32191,252775860
2677,-6.712964,42.3851921,122692704
2680,-7.55773544,43.01186501,110499965
2681,-4.36148,42.41044,2765536072
2692,-8.16359,42.92676,264742637
2695,-5.031237124834847,42.371831310890336,29786507
2699,-8.6323091,42.8237296,58002197
2719,-6.712964,42.3851921,122692704
2733,-1.31987,43.0087,519668625
2734,-1.31987,43.0087,519668625
2736,-8.8916447,42.5242277,708727288532221953
2738,-7.32513,43.03011,110499965
2740,-9.2981391,42.8798431,98620937
2754,-8.0227877,43.040258,264742637
2756,-8.01091592,43.03769148,264742637
2758,2.0524766,41.3170475,4397427251
2763,-8.55,42.8833,335612751
2770,-8.392706766048914,42.78163114469274,91968405
2776,-8.7248383,42.8227852,14763005
2809,-8.1340903,42.8743764,980934018
2810,-8.1340903,42.8743764,980934018
2812,-8.1340903,42.8743764,980934018
2825,-8.54432,42.87684,283486333
2839,-3.70444,42.3406,126075696
2862,-8.6323091,42.8237296,3586461376
