pays,lat,long,long_dest,lat_dest,User
Allemagne,10.4234469,51.0834196,37.879030099999994,-4.779535727995244,2
 Slovénie,14.4808369,45.8133113,37.879030099999994,-4.779535727995244,2
Liban,35.843409,33.8750629,37.879030099999994,-4.779535727995244,2
 Égypte,29.2675469,26.2540493,37.879030099999994,-4.779535727995244,2
Roma,12.4829321,41.8933203,37.879030099999994,-4.779535727995244,2
 Ukraine,31.2718321,49.4871968,37.879030099999994,-4.779535727995244,2
Miami,-80.19362,25.7741728,37.879030099999994,-4.779535727995244,2
Milano,9.1896346,45.4641943,37.879030099999994,-4.779535727995244,2
Monaco,7.424224092532953,43.73844905,37.879030099999994,-4.779535727995244,2
Portugal,-7.8896263,40.0332629,37.879030099999994,-4.779535727995244,2
 TN,9.400138,33.8439408,37.879030099999994,-4.779535727995244,2
 SC,-80.4363743,33.6874388,37.879030099999994,-4.779535727995244,2
Malaisie,102.2656823,4.5693754,37.879030099999994,-4.779535727995244,2
 Honduras,-86.0755145,15.2572432,37.879030099999994,-4.779535727995244,2
 Panama,-81.1308434,8.559559,37.879030099999994,-4.779535727995244,2
 Chypre,33.1451285,34.9823018,37.879030099999994,-4.779535727995244,2
 MS,-89.7348497,32.9715285,37.879030099999994,-4.779535727995244,2
 Florida,-81.4639835,27.7567667,37.879030099999994,-4.779535727995244,2
 Malte,14.4476911,35.8885993,37.879030099999994,-4.779535727995244,2
 GO,-50.1392928,-15.9323662,37.879030099999994,-4.779535727995244,2
 CA,-107.991707,61.0666922,37.879030099999994,-4.779535727995244,2
 Koweït,47.4979476,29.2733964,37.879030099999994,-4.779535727995244,2
 Nouveau-Mexique,-105.993007,34.5708167,37.879030099999994,-4.779535727995244,2
 Biélorussie,27.6971358,53.4250605,37.879030099999994,-4.779535727995244,2
 PR,14.4212535,50.0874654,37.879030099999994,-4.779535727995244,2
 Ile de La Réunion,55.536480112992315,-21.130737949999997,37.879030099999994,-4.779535727995244,2
 Germany,10.4234469,51.0834196,37.879030099999994,-4.779535727995244,2
Malte,14.4476911,35.8885993,37.879030099999994,-4.779535727995244,2
 Algérie,2.9999825,28.0000272,37.879030099999994,-4.779535727995244,2
 Argentina,-64.9672817,-34.9964963,37.879030099999994,-4.779535727995244,2
 California,-118.755997,36.7014631,37.879030099999994,-4.779535727995244,2
 Hawaï,-155.42837009716908,19.593801499999998,37.879030099999994,-4.779535727995244,2
Spain,-4.8379791,39.3260685,37.879030099999994,-4.779535727995244,1
Suisse,8.2319736,46.7985624,37.879030099999994,-4.779535727995244,1
Southampton UK,-1.404189,50.9025349,37.879030099999994,-4.779535727995244,1
Pologne,19.134422,52.215933,37.879030099999994,-4.779535727995244,1
Pornic,-2.1040102,47.1152695,37.879030099999994,-4.779535727995244,1
Port Dover,-80.2005169,42.7845713,37.879030099999994,-4.779535727995244,1
Port Talbot,-3.782199,51.5952119,37.879030099999994,-4.779535727995244,1
État de São Paulo,13.2506879,-8.8205129,37.879030099999994,-4.779535727995244,1
État de New York,-99.0743931,19.5047194,37.879030099999994,-4.779535727995244,1
Saint Etienne,4.3873058,45.4401467,37.879030099999994,-4.779535727995244,1
Rokutan,130.5150062,33.4997294,37.879030099999994,-4.779535727995244,1
vitoria,-2.6724025,42.8465088,37.879030099999994,-4.779535727995244,1
Serris,2.7865371511662187,48.846300400000004,37.879030099999994,-4.779535727995244,1
Saint nom la breteche,2.0183225778176537,48.8620481,37.879030099999994,-4.779535727995244,1
Sri Lanka,80.7137847,7.5554942,37.879030099999994,-4.779535727995244,1
S. Wales,-78.5780796,42.7089493,37.879030099999994,-4.779535727995244,1
Sta. Rosa,-54.4779287,-27.8643546,37.879030099999994,-4.779535727995244,1
draguignan,6.4627333,43.5374662,37.879030099999994,-4.779535727995244,1
PALENCIA,-4.616100410293067,42.409632200000004,37.879030099999994,-4.779535727995244,1
Ovar,-8.648528873790857,40.84584435,37.879030099999994,-4.779535727995244,1
Mannheim,8.4673098,49.4892913,37.879030099999994,-4.779535727995244,1
Marlow,12.5725117,54.1556493,37.879030099999994,-4.779535727995244,1
Marseille,5.3699525,43.2961743,37.879030099999994,-4.779535727995244,1
Maryland,-76.9382069,39.5162234,37.879030099999994,-4.779535727995244,1
新潟市,139.0365006,37.9160769,37.879030099999994,-4.779535727995244,1
Md,-76.9382069,39.5162234,37.879030099999994,-4.779535727995244,1
Melbourne,144.9631608,-37.8142176,37.879030099999994,-4.779535727995244,1
Ярославль,39.8933705,57.6263877,37.879030099999994,-4.779535727995244,1
Michigan,-84.6824346,43.6211955,37.879030099999994,-4.779535727995244,1
Milwaukee,-87.922497,43.0349931,37.879030099999994,-4.779535727995244,1
Северодвинск,39.823769,64.563385,37.879030099999994,-4.779535727995244,1
Monde,-1.1634267,44.0843573,37.879030099999994,-4.779535727995244,1
États-Unis,18.1367969,-0.7327729,37.879030099999994,-4.779535727995244,1
Muenchen,131.3749651,33.5280171,37.879030099999994,-4.779535727995244,1
Murcia,-1.1305431,37.9923795,37.879030099999994,-4.779535727995244,1
New Jersey,-74.4041622,40.0757384,37.879030099999994,-4.779535727995244,1
New York,-74.0060152,40.7127281,37.879030099999994,-4.779535727995244,1
North east,-79.8358415,42.2150373,37.879030099999994,-4.779535727995244,1
Norvège,9.0999715,60.5000209,37.879030099999994,-4.779535727995244,1
Norwich UK,1.29227,52.628606,37.879030099999994,-4.779535727995244,1
